reference,prediction,wer,cer
Müsabiqədən sonra onu artıq hamı tanımağa başlayır.,müsabiqədən sonra onu artıq hamı tanımağa başlayır.,0.0,0.0
İnsanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səbəblərdən baş verə bilər.,İnsanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səbəblərdən baş verə bilər.,0.0,0.0
Netflix nədir?,Netflix nədir?,0.0,0.0
Yuxarı axarlarda bataqlaşmış ərazidən axır və suyu dayaz olur.,Yuxarı axarlarda bataqlaşmış ərazidən axır və suyu dayaz olur.,0.0,0.0
Bunun səbəbləri müxtəlifdir.,Bunun səbəbləri müxtəlifdir.,0.0,0.0
İyunun əvvəlində çiçəkləyir.,İyunun əvvəlində çiçəkləyir.,0.0,0.0
Qrup artıq fəaliyyətini dayandırmışdır.,Qrup artıq fəaliyyətini dayandırmışdır.,0.0,0.0
Adada göl yoxdur.,Adada göl yoxdur.,0.0,0.0
Müxtəlif illərdə fərqli sahələrdə iş fəaliyyətinə başlayır.,Müxtəlif illərdə fərqli sahələrdə iş fəaliyyətinə başlayır.,0.0,0.0
Çar ordusunda zabit kimi xidmət etmişdi.,Çar ordusunda zabit kimi xidmət etmişdi.,0.0,0.0
Mağaraların girəcəyində aşkar edilmiş mədəni təbəqə qalıqları onların qədim insan məskənləri olduğunu göstərir.,Mağaraların girəcəyində aşkar edilmiş mədəni təbəqə qalıqları onların qədim insan məskənləri olduğunu göstərir.,0.0,0.0
Əli Amir uşaq yaşlarında ailəsi ilə birlikdə İsrailə köç edib.,Əli Amir uşaq yaşlarında ailəsi ilə birlikdə İsrailə köç edib.,0.0,0.0
İlk işi Şabran şəhərini ələ keçirmək oldu.,İlk işi Şabran şəhərini ələ keçirmək oldu.,0.0,0.0
Daha sonra həmin məktəbin direktoru olur.,Daha sonra həmin məktəbin direktoru olur.,0.0,0.0
Hər iki xəstəliyi aradan qaldıra bildi.,Hər iki xəstəliyi aradan qaldıra bildi.,0.0,0.0
Əsasən dağlıq ərazidir.,Əsasən dağlıq ərazidir.,0.0,0.0
Quyruğu qısa olur.,Quyruğu qısa olur.,0.0,0.0
İndi həmin qədim yolla dəmir yolu xətti çəkilmişdir.,İndi həmin qədim yolla dəmir yolu xətti çəkilmişdir.,0.0,0.0
Diplomunu aldığı zaman casusluq vəzifəsinin hissəsi olan bir əmr altında Moskvanı tərk etdi.,Diplomunu aldığı zaman casusluq vəzifəsinin hissəsi olan bir əmr altında Moskvanı tərk etdi.,0.0,0.0
Böyük İskəndərin çatdığı ən son bölgə olduğu təxmin edilir.,Böyük İskəndərin çatdığı ən son bölgə olduğu təxmin edilir.,0.0,0.0
Ərazisində çöl bitkiləri üstünlük təşkil edir.,Ərazisində çöl bitkiləri üstünlük təşkil edir.,0.0,0.0
Ortada qalan meydançanın iki tərəfini tağlar və onların arxasında yerləşən otaqlar təşkil edir.,Ortada qalan meydançanın iki tərəfini tağlar və onların arasında yerləşən otaqlar təşkil edir.,0.07692307692307693,0.010526315789473684
Hərbi xidmətini başa vurduqdan sonra Abbasov Mingəçevir şəhərində elektrik quraşdırma idarəsində çalışıb.,Hərbi xidmətini başa vurduqdan sonra Abbasov Mingəçəvir şəhərində elektrik quraşdırma idarəsində çalışıb.,0.08333333333333333,0.009523809523809525
Orta əsrlərdə geniş yayılmış bu oyun klassik ədəbiyyatımızın nümunələrindən də bəllidir.,Orta əsrlərdə geniş yayılmış bu oyun klasik ədəbiyyatımızın nümunələrindən də bəllidir.,0.09090909090909091,0.011363636363636364
"İngiltərədə nəşr edilmiş bu ""Divan""da məhəbbət lirikası üstünlük təşkil edirdi.",İngiltərədə nəşr edilmiş bu divanda məhəbbət lirikası üstünlük təşkil edirdi.,0.1,0.025
